instance,provider,method,seed,budget_steps,psnr,ssim,psnr_AO,psnr_ARM,psnr_DIFF,psnr_Displacement,psnr_metal,psnr_normal,psnr_rough,psnr_specular,ssim_AO,ssim_ARM,ssim_DIFF,ssim_Displacement,ssim_metal,ssim_normal,ssim_rough,ssim_specular,interval_train_seconds,cumulative_train_seconds,interval_steps_per_second,evaluation_seconds,completed_trajectory
rails-001,ambientcg,NTC_PinkPEPS,1,10,5.788249502253002,0.17746374445656934,2.058821835553498,,9.359501421378575,2.293002789541418,9.94896713382073,4.315323209898617,6.753880623325173,,0.09982851147651672,,0.06929831951856613,0.037048209458589554,0.7093260288238525,0.06454642862081528,0.0847349688410759,,0.605275347000088,0.605275347000088,16.521406413730155,0.009928631999855497,True
rails-001,ambientcg,NTC_PinkPEPS,2,10,5.658999313325331,0.17229700492074093,1.7712018873413629,,6.6986537361427345,2.835993551241367,9.981006283272071,4.937724099118405,7.729416322836041,,0.08036472648382187,,0.02500382997095585,0.10672387480735779,0.5781059265136719,0.08307882398366928,0.16050484776496887,,0.45982310299996243,0.45982310299996243,21.74749362256558,0.008152318999918862,True
roof-09,polyhaven,NTC_PinkPEPS,0,10,9.413267814614427,0.13181940093636513,,6.358519060275787,8.56254726504413,5.839493568265923,,4.097463299781535,,22.20831587970476,,0.3533004820346832,0.09071558713912964,0.047547683119773865,,0.040838126093149185,,0.12669512629508972,0.4652595319998909,0.4652595319998909,21.49338017217097,0.007869906999985687,True
roof-09,polyhaven,NTC_PinkPEPS,1,10,10.514535893738126,0.23853325545787812,,6.342238071277844,9.189139646131267,6.827493393142632,,4.801137077418173,,25.412671280720716,,0.29777321219444275,0.10817497968673706,0.11482629179954529,,0.2122766524553299,,0.45961514115333557,0.4588170959998479,0.4588170959998479,21.795177396797165,0.007507153999995353,True
roof-09,polyhaven,NTC_PinkPEPS,2,10,10.410945493917499,0.20808445140719414,,5.973875345720902,7.724334656494481,8.158656096009235,,4.95378547953236,,25.244075891830512,,0.33993351459503174,0.07669427990913391,0.18693429231643677,,0.05712306126952171,,0.37973710894584656,0.45657053999980235,0.45657053999980235,21.902420598587742,0.007458053999926051,True
rails-001,ambientcg,BI-Grid,0,50,16.29972208780195,0.23773800333340964,19.519852177271225,,16.786495685549113,14.682538594448403,10.118193219244112,17.572349473149217,19.11890337714962,,0.24617743492126465,,0.14441369473934174,0.2146325558423996,0.4173260033130646,0.1795557737350464,0.22432255744934082,,1.3217126500001086,1.7121887700000116,30.26376421531315,0.0016174019999652955,True
rails-001,ambientcg,BI-Grid,1,50,16.51116415400994,0.2509320055445035,20.175282859021678,,17.53949495118856,15.312984727089557,10.03604941834761,17.57098750615405,18.432185462258186,,0.3357912003993988,,0.19022111594676971,0.24286504089832306,0.36582350730895996,0.1679534912109375,0.20293767750263214,,2.462929110999994,2.5820300540001426,16.240824724248466,0.0011077680001108092,True
rails-001,ambientcg,BI-Grid,2,50,16.49114617617504,0.23878496264417967,20.347371306581636,,17.144679909712018,15.710459180926845,10.016727912199624,17.65233688718434,18.075301860445773,,0.2689625918865204,,0.12235019356012344,0.2128138542175293,0.5079134702682495,0.15120138227939606,0.16946828365325928,,0.656406817000061,0.7739851490000547,60.937819297504774,0.0010460580001563358,True
roof-09,polyhaven,BI-Grid,0,50,19.321262175078154,0.4540055751800537,,19.608909449210504,20.288766086492505,15.04401948917549,,15.423915415009047,,26.240700435503236,,0.6170886158943176,0.4992465078830719,0.290890097618103,,0.2896174490451813,,0.5731852054595947,0.6454361480000443,0.7669282580000072,61.973597425468725,0.001018097000041962,True
roof-09,polyhaven,BI-Grid,1,50,19.453616959736856,0.37119620442390444,,19.491629162509817,20.97595297515757,15.337460233332077,,15.68244726024987,,25.780595167434942,,0.4139251708984375,0.49719032645225525,0.3314191401004791,,0.2597811222076416,,0.3536652624607086,0.6438139660001525,0.7619274720002522,62.129748828702056,0.0010124779998932354,True
roof-09,polyhaven,BI-Grid,2,50,19.341414140109,0.4163005590438843,,19.268607020808975,20.05793539148657,15.38703787815755,,16.193537309187743,,25.799953100904155,,0.5980496406555176,0.43782684206962585,0.3318069279193878,,0.23851633071899414,,0.475303053855896,0.6526997110001957,0.770286993000127,61.28392479093346,0.0010410679999495187,True
rails-001,ambientcg,Grid-PinkPEPS4F,0,50,16.947372904361373,0.2969369168082873,21.263555071761647,,16.504879219682266,15.934324516001352,10.041591741233887,18.255083718708654,19.68480315878043,,0.3355589210987091,,0.13489030301570892,0.3369743525981903,0.4945390224456787,0.1999264359474182,0.27973246574401855,,1.8836903819999407,2.54337602399994,21.23491226702099,0.0030404820000740074,True
rails-001,ambientcg,Grid-PinkPEPS4F,1,50,16.97593837296392,0.31802363445361453,21.42856051011297,,17.1929852596719,15.63542765844181,10.050601670631838,18.252083352038404,19.29597178688661,,0.328897625207901,,0.1528996378183365,0.30972883105278015,0.6627212166786194,0.19451206922531128,0.259382426738739,,1.2241156630000205,1.4909432059999972,32.67665075207793,0.00299012200002835,True
rails-001,ambientcg,Grid-PinkPEPS4F,2,50,17.047557228498423,0.31016505012909573,21.88447403966647,,17.172130246238645,16.57182923498783,9.995030085553823,18.000104908054556,18.661774856489224,,0.35217341780662537,,0.14505304396152496,0.2679162323474884,0.6754240989685059,0.218492791056633,0.2019307166337967,,1.2138034180001114,1.480895154000109,32.95426541631005,0.0029879520000122284,True
roof-09,polyhaven,Grid-PinkPEPS4F,0,50,19.434705471636462,0.4227937638759613,,19.48492572103103,20.44110450825601,15.02703564929555,,16.70801652530525,,25.512444954294473,,0.613627016544342,0.4161185324192047,0.32000732421875,,0.3148200213909149,,0.44939592480659485,1.2479304849998698,1.5400795220000418,32.05306744309894,0.002964302000009411,True
roof-09,polyhaven,Grid-PinkPEPS4F,1,50,19.79378330038104,0.4304568231105804,,20.132727050080497,20.794905090191598,14.57614282859397,,16.43006376165983,,27.035077771379296,,0.5591375231742859,0.49100935459136963,0.29940083622932434,,0.30392828583717346,,0.4988081157207489,1.2271763549997559,1.4929052009997577,32.59515214502969,0.0029095910001615266,True
roof-09,polyhaven,Grid-PinkPEPS4F,2,50,19.60518644530211,0.400644850730896,,19.68507023576227,20.443761124712786,15.300736548226983,,16.883961415173573,,25.712402902634928,,0.5081178545951843,0.4312457740306854,0.32124975323677063,,0.32207146286964417,,0.42053940892219543,1.2436744640001507,1.5091312480001307,32.16275734354481,0.003186942999946041,True
rails-001,ambientcg,LPE,0,50,16.107236396374706,0.2917317698399226,18.76746327016645,,17.21701358702713,15.85458176107913,9.971847523374244,15.693447114669954,19.13906512193134,,0.21019606292247772,,0.1445034295320511,0.2660483121871948,0.6900348663330078,0.16334420442581177,0.2762637436389923,,1.7254561260001537,2.352342000000135,23.18227591954224,0.0032737940000515664,True
rails-001,ambientcg,LPE,1,50,16.071813221555413,0.215797392030557,19.144105769773642,,17.0409076303104,15.540802940430279,10.006986998325324,16.88353038103825,17.814545609454584,,0.19545097649097443,,0.12524563074111938,0.1868983954191208,0.5144964456558228,0.13028842210769653,0.1424044817686081,,1.7538499719998981,1.9822854080000525,22.80696789269175,0.002060154999981023,True
rails-001,ambientcg,LPE,2,50,16.725351053799063,0.29231298218170804,21.01153609555449,,17.003676355696182,16.112744759803633,9.973895215291448,17.37054577411104,18.879708122337593,,0.325404554605484,,0.1392429918050766,0.24109303951263428,0.6541231870651245,0.17200089991092682,0.2220132201910019,,0.6514134010001271,0.769345266000073,61.404938766361354,0.0018839130000287696,True
roof-09,polyhaven,LPE,0,50,19.052672172334606,0.3915902376174927,,19.320773415614696,19.593142777174236,15.315032845114054,,15.348031227098993,,25.686380596671057,,0.5537024140357971,0.4238256514072418,0.3415980041027069,,0.2517390549182892,,0.38708606362342834,0.7327935310001976,1.02451960600024,54.585634708597354,0.0016800120001789765,True
roof-09,polyhaven,LPE,1,50,19.3086037566676,0.42123145759105685,,19.279745509190406,20.345290598557007,15.13861851526716,,16.194434085591492,,25.584930074731936,,0.5894380807876587,0.45262154936790466,0.30197107791900635,,0.23840917646884918,,0.5237174034118652,0.640424392000341,0.758657629000254,62.45858293289164,0.001657421999880171,True
roof-09,polyhaven,LPE,2,50,19.03912558645553,0.41686285436153414,,19.16145045293579,19.951566322621424,14.966968820315268,,15.573972217421122,,25.54167011898404,,0.5805011987686157,0.43695059418678284,0.3113057613372803,,0.2426653653383255,,0.5128913521766663,0.6204960869999923,0.7387711339999896,64.46454834774889,0.0021676750000096945,True
rails-001,ambientcg,NTC_N,0,50,16.604208015921184,0.2572741024196148,19.98726065761069,,16.742554976446648,16.715696387842936,9.963262429245848,17.812115622837734,18.404358021543242,,0.27420827746391296,,0.12122897058725357,0.23389534652233124,0.5952965617179871,0.18414384126663208,0.13487161695957184,,1.4243279239997264,1.9771453209996253,28.083420486255722,0.00204070499989939,True
