scope,paper_table,artifact,loss,instance,method,method_key,seed,iou,paper_iou,delta_iou,l1,mape,flip,encoder_params,decoder_params,total_params,evaluated_voxels,training_seconds,streamed_evaluation_seconds,render_and_flip_seconds,total_gpu_occupied_seconds,physical_gpu_id
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,LPE,lpe,0,0.9493306199595632,0.925,0.024330619959563204,0.0017369923783157144,4.666088722780462,,589824,9601,599425,134217728,1147.4649239499995,4.03380417599692,2.400047378614545e-07,1151.4987283660012,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,M-Grid,m_grid,0,0.9331294399217919,0.928,0.005129439921791823,0.0015843117250030373,6.001753188907704,,598016,8833,606849,134217728,996.662276030991,2.0718319559964584,1.1999509297311306e-07,998.7341081069826,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,M-Hash,m_hash,0,0.9635991194288018,0.93,0.03359911942880178,0.0011146906067069412,3.2875921371245647,,598016,8961,606977,134217728,1836.535200063001,7.8933733999947435,2.3000029614195228e-07,1844.428573692996,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,M-HashPEPS,m_hashpeps,0,0.9510152411106638,0.93,0.021015241110663774,0.0009729815678864488,4.553185283203383,,598016,12033,610049,134217728,3911.401288766996,25.036606691995985,2.1999585442245007e-07,3936.437895678988,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,M-PEPS,m_peps,0,0.9657251009565859,0.93,0.035725100956585876,0.0009595398061274511,3.1182094936698315,,598016,11137,609153,134217728,1913.0686486880004,3.097607251002046,3.7000427255406976e-07,1916.1662563090067,2
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,PE,pe,0,0.8861202337863118,0.9,-0.01387976621368825,0.0018973324652654289,10.558958483394765,,0,12481,12481,134217728,894.0040473170084,2.810666071003652,1.799926394596696e-07,896.8147135680047,3
3-of-4 public subset,Table 6,sdf-table6-l1-public-three,l1,thai-statue,TI-Grid,grid,0,0.9455948923479648,0.927,0.018594892347964742,0.0016061616814031616,4.848726764450652,,589824,9601,599425,134217728,1210.8464363509993,2.0804337180015864,2.0999868866056204e-07,1212.9268702789996,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,Grid-PEPS,grid_peps,0,0.9899492216889512,0.957,0.0329492216889512,0.001062305517502116,1.3838788680371252,,589824,16513,606337,134217728,3545.2959254430007,3.5564119959999516,2.5000008463393897e-07,3548.8523376890007,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,Hash,hash,0,0.7492486589217395,0.637,0.11224865892173952,0.09671208664561594,26.775796514539014,,589824,9601,599425,134217728,1278.765328298001,4.577602407998711,2.6999987312592566e-07,1283.3429309759995,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,Hash-PEPS,hash_peps,0,0.8844452723829673,0.788,0.0964452723829673,0.05170269354764537,17.179946306091985,,589824,16513,606337,134217728,2112.826873648999,14.985616644000402,3.2000025385059416e-07,2127.8124906129997,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,LPE,lpe,0,0.9846463895465817,0.956,0.02864638954658172,0.001943871422288946,2.752706857390321,,589824,9601,599425,134217728,1153.6627374399995,4.62287799600017,1.9999970390927047e-07,1158.2856156359994,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,M-Grid,m_grid,0,0.9868594259192383,0.956,0.030859425919238292,0.0006779554954444937,1.423235041704576,,598016,8833,606849,134217728,1013.7086495410003,2.0843805670010624,1.00000761449337e-07,1015.7930302080022,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,M-Hash,m_hash,0,0.9897487552285853,0.957,0.032748755228585336,0.001035964290601498,1.8886670635212477,,598016,8961,606977,134217728,1840.745653169999,7.574869750998914,1.900007191579789e-07,1848.3205231109987,2
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,M-HashPEPS,m_hashpeps,0,0.9877053056747621,0.957,0.03070530567476215,0.0011504965186968652,1.4339345087706195,,598016,12033,610049,134217728,3921.5724586459983,24.977544194000075,1.5999830793589354e-07,3946.5500029999967,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,M-PEPS,m_peps,0,0.9948607710530484,0.957,0.037860771053048414,0.00141434687197117,1.3287217586582782,,598016,11137,609153,134217728,1905.5299165970027,2.8985817689972464,1.900007191579789e-07,1908.4284985560007,3
3-of-4 public subset,Table 3,sdf-table3-mape-public-three,mape,armadillo,PE,pe,0,0.8867888704740761,0.952,-0.0652111295259239,0.007049758631578631,7.420953915379271,,0,12481,12481,134217728,912.2183651220003,2.978354775999833,3.699988155858591e-07,915.1967202679989,2
